Station,Year,Month,Day,Magnitude,Value
28079035,2010,1,1,SO2,9.55
28079035,2010,1,1,CO,0.28
28079035,2010,1,1,NO,24.32
28079035,2010,1,1,NOx,30.73
28079035,2010,1,1,O3,57.77
28079004,2010,1,1,SO2,12.39
28079004,2010,1,1,CO,0.28
28079004,2010,1,1,NO,11.51
28079004,2010,1,1,NOx,15.76
28079004,2010,1,1,VV,1.89
28079004,2010,1,1,DV,7.44
28079004,2010,1,1,TMP,6.19
28079004,2010,1,1,HR,87.07
28079004,2010,1,1,LLA,0
28079039,2010,1,1,CO,0.33
28079039,2010,1,1,NO,22.98
28079039,2010,1,1,NOx,32.47
28079039,2010,1,1,O3,55.27
28079039,2010,1,1,LLA,0
28079008,2010,1,1,SO2,8.74
28079008,2010,1,1,CO,0.29
28079008,2010,1,1,NO,29.1
28079008,2010,1,1,PM2.5,6.82
28079008,2010,1,1,PM10,12.23
28079008,2010,1,1,NOx,47.18
28079008,2010,1,1,O3,50.09
28079008,2010,1,1,TOL,1.43
28079008,2010,1,1,BEN,0.29
28079008,2010,1,1,EBE,1.57
28079008,2010,1,1,TCH,1.32
28079008,2010,1,1,NMHC,0.12
28079038,2010,1,1,SO2,9.64
28079038,2010,1,1,NO,19.04
28079038,2010,1,1,PM2.5,7.73
28079038,2010,1,1,PM10,11.1
28079038,2010,1,1,NOx,25.98
28079038,2010,1,1,TOL,3.02
28079038,2010,1,1,BEN,0.88
28079038,2010,1,1,EBE,0.46
28079038,2010,1,1,TMP,5.6
28079038,2010,1,1,LLA,0
28079011,2010,1,1,NO,25.73
28079011,2010,1,1,NOx,34.47
28079011,2010,1,1,TOL,0.46
28079011,2010,1,1,BEN,0.19
28079011,2010,1,1,EBE,1
28079011,2010,1,1,LLA,0
28079040,2010,1,1,SO2,5.59
28079040,2010,1,1,NO,20.8
28079040,2010,1,1,PM10,12.63
28079040,2010,1,1,NOx,28.13
28079040,2010,1,1,LLA,0
28079016,2010,1,1,CO,0.28
28079016,2010,1,1,NO,27.29
28079016,2010,1,1,NOx,34.16
28079016,2010,1,1,O3,41.26
28079016,2010,1,1,LLA,1
28079017,2010,1,1,SO2,6.76
28079017,2010,1,1,NO,18.35
28079017,2010,1,1,NOx,25.91
28079017,2010,1,1,O3,40.74
28079018,2010,1,1,SO2,5.37
28079018,2010,1,1,CO,0.18
28079018,2010,1,1,NO,18.88
28079018,2010,1,1,PM10,5.73
28079018,2010,1,1,NOx,24.7
28079018,2010,1,1,O3,64.66
28079018,2010,1,1,TOL,2.08
28079018,2010,1,1,BEN,0.93
28079018,2010,1,1,EBE,0.87
28079018,2010,1,1,TMP,6.54
28079018,2010,1,1,LLA,0.02
28079036,2010,1,1,SO2,7.05
28079036,2010,1,1,CO,0.28
28079036,2010,1,1,NO,34.81
28079036,2010,1,1,PM10,13.44
28079036,2010,1,1,NOx,57.47
28079036,2010,1,1,LLA,0
28079024,2010,1,1,SO2,7.18
28079024,2010,1,1,CO,0.68
28079024,2010,1,1,NO,3.8
28079024,2010,1,1,PM2.5,5.1
28079024,2010,1,1,PM10,6.5
28079024,2010,1,1,NOx,5.45
28079024,2010,1,1,O3,81.74
28079024,2010,1,1,TCH,1.37
28079024,2010,1,1,NMHC,0.38
28079024,2010,1,1,UV,12.73
28079024,2010,1,1,VV,5.19
28079024,2010,1,1,DV,8.6
28079024,2010,1,1,TMP,4.54
28079024,2010,1,1,HR,72.94
28079024,2010,1,1,PRB,916
28079024,2010,1,1,RS,66.69
28079024,2010,1,1,LLA,0.1
28079027,2010,1,1,NO,30.5
28079027,2010,1,1,NOx,44.32
28079027,2010,1,1,O3,25.02
28079027,2010,1,1,TCH,1.34
28079027,2010,1,1,NMHC,0.13
28079047,2010,1,1,NO,23.56
28079047,2010,1,1,PM2.5,7.8
28079047,2010,1,1,PM10,11.18
28079047,2010,1,1,NOx,25.43
28079049,2010,1,1,NO,13.38
28079049,2010,1,1,NOx,16.54
28079049,2010,1,1,O3,99.2
28079054,2010,1,1,NO,20.63
28079054,2010,1,1,NOx,21.57
28079054,2010,1,1,O3,70.81
28079054,2010,1,1,UV,2.07
28079054,2010,1,1,VV,3.45
28079054,2010,1,1,DV,9.11
28079054,2010,1,1,TMP,16.26
28079057,2010,1,1,SO2,6.26
28079057,2010,1,1,CO,0.2
28079057,2010,1,1,NO,16.07
28079057,2010,1,1,PM10,8.97
28079057,2010,1,1,NOx,19.41
28079057,2010,1,1,TMP,6.25
28079058,2010,1,1,NO,7.32
28079058,2010,1,1,NOx,10.3
28079058,2010,1,1,O3,77.72
28079058,2010,1,1,TCH,1.31
28079058,2010,1,1,NMHC,0.22
28079059,2010,1,1,NO,17.49
28079059,2010,1,1,NOx,20.49
28079059,2010,1,1,O3,61.56
28079059,2010,1,1,UV,3.94
28079059,2010,1,1,VV,4.05
28079059,2010,1,1,DV,5.74
28079059,2010,1,1,TMP,5.79
28079059,2010,1,1,HR,83.92
28079059,2010,1,1,PRB,923.2
28079059,2010,1,1,RS,69.45
28079059,2010,1,1,LLA,0
28079099,2010,1,1,SO2,7.9
28079099,2010,1,1,CO,0.31
28079099,2010,1,1,NO,20.73
28079099,2010,1,1,PM2.5,6.86
28079099,2010,1,1,PM10,9.99
28079099,2010,1,1,NOx,27.75
28079099,2010,1,1,O3,60.67
28079099,2010,1,1,TOL,1.54
28079099,2010,1,1,BEN,0.5
28079099,2010,1,1,EBE,0.9
28079099,2010,1,1,TCH,1.33
28079099,2010,1,1,NMHC,0.22
28079099,2010,1,1,UV,6.29
28079099,2010,1,1,VV,3.65
28079099,2010,1,1,DV,7.69
28079099,2010,1,1,TMP,7.3
28079099,2010,1,1,HR,81.31
28079099,2010,1,1,PRB,919.6
28079099,2010,1,1,RS,68.07
28079099,2010,1,1,LLA,0.11
28079035,2010,1,2,SO2,11.23
28079035,2010,1,2,CO,0.44
