"Station","Magnitude","AnalysisTechnique","AnalysisPeriod","Date","Value","Longitude","Latitude"
"28079004","SO2",38,4,"2013-1-1",4,-3.712222,40.424167
"28079004","SO2",38,4,"2013-2-1",5,-3.712222,40.424167
"28079004","SO2",38,4,"2013-3-1",5,-3.712222,40.424167
"28079004","SO2",38,4,"2013-4-1",3,-3.712222,40.424167
"28079004","SO2",38,4,"2013-5-1",4,-3.712222,40.424167
"28079004","SO2",38,4,"2013-6-1",3,-3.712222,40.424167
"28079004","SO2",38,4,"2013-7-1",4,-3.712222,40.424167
"28079004","SO2",38,4,"2013-8-1",3,-3.712222,40.424167
"28079004","SO2",38,4,"2013-9-1",3,-3.712222,40.424167
"28079004","SO2",38,4,"2013-10-1",3,-3.712222,40.424167
"28079004","SO2",38,4,"2013-11-1",7,-3.712222,40.424167
"28079004","SO2",38,4,"2013-12-1",8,-3.712222,40.424167
"28079004","CO",48,4,"2013-1-1",0.4,-3.712222,40.424167
"28079004","CO",48,4,"2013-2-1",0.7,-3.712222,40.424167
"28079004","CO",48,4,"2013-3-1",0.5,-3.712222,40.424167
"28079004","CO",48,4,"2013-4-1",0.3,-3.712222,40.424167
"28079004","CO",48,4,"2013-5-1",0.3,-3.712222,40.424167
"28079004","CO",48,4,"2013-6-1",0.3,-3.712222,40.424167
"28079004","CO",48,4,"2013-7-1",0.3,-3.712222,40.424167
"28079004","CO",48,4,"2013-8-1",0.3,-3.712222,40.424167
"28079004","CO",48,4,"2013-9-1",0.3,-3.712222,40.424167
"28079004","CO",48,4,"2013-10-1",0.2,-3.712222,40.424167
"28079004","CO",48,4,"2013-11-1",0.4,-3.712222,40.424167
"28079004","CO",48,4,"2013-12-1",0.4,-3.712222,40.424167
"28079004","NO",8,4,"2013-1-1",33,-3.712222,40.424167
"28079004","NO",8,4,"2013-2-1",84,-3.712222,40.424167
"28079004","NO",8,4,"2013-3-1",21,-3.712222,40.424167
"28079004","NO",8,4,"2013-4-1",5,-3.712222,40.424167
"28079004","NO",8,4,"2013-5-1",10,-3.712222,40.424167
"28079004","NO",8,4,"2013-6-1",9,-3.712222,40.424167
"28079004","NO",8,4,"2013-7-1",17,-3.712222,40.424167
"28079004","NO",8,4,"2013-8-1",8,-3.712222,40.424167
"28079004","NO",8,4,"2013-9-1",9,-3.712222,40.424167
"28079004","NO",8,4,"2013-10-1",14,-3.712222,40.424167
"28079004","NO",8,4,"2013-11-1",58,-3.712222,40.424167
"28079004","NO",8,4,"2013-12-1",40,-3.712222,40.424167
"28079004","NO2",8,4,"2013-1-1",43,-3.712222,40.424167
"28079004","NO2",8,4,"2013-2-1",45,-3.712222,40.424167
"28079004","NO2",8,4,"2013-3-1",56,-3.712222,40.424167
"28079004","NO2",8,4,"2013-4-1",24,-3.712222,40.424167
"28079004","NO2",8,4,"2013-5-1",37,-3.712222,40.424167
"28079004","NO2",8,4,"2013-6-1",26,-3.712222,40.424167
"28079004","NO2",8,4,"2013-7-1",48,-3.712222,40.424167
"28079004","NO2",8,4,"2013-8-1",41,-3.712222,40.424167
"28079004","NO2",8,4,"2013-9-1",31,-3.712222,40.424167
"28079004","NO2",8,4,"2013-10-1",19,-3.712222,40.424167
"28079004","NO2",8,4,"2013-11-1",55,-3.712222,40.424167
"28079004","NO2",8,4,"2013-12-1",50,-3.712222,40.424167
"28079004","VV",98,4,"2013-1-1",0.74,-3.712222,40.424167
"28079004","VV",98,4,"2013-2-1",1.1,-3.712222,40.424167
"28079004","VV",98,4,"2013-3-1",1.67,-3.712222,40.424167
"28079004","VV",98,4,"2013-4-1",1.29,-3.712222,40.424167
"28079004","VV",98,4,"2013-5-1",0.8,-3.712222,40.424167
"28079004","VV",98,4,"2013-6-1",1.57,-3.712222,40.424167
"28079004","VV",98,4,"2013-7-1",0.99,-3.712222,40.424167
"28079004","VV",98,4,"2013-8-1",0.9,-3.712222,40.424167
"28079004","VV",98,4,"2013-9-1",1.5,-3.712222,40.424167
"28079004","VV",98,4,"2013-10-1",1.02,-3.712222,40.424167
"28079004","VV",98,4,"2013-11-1",0.59,-3.712222,40.424167
"28079004","VV",98,4,"2013-12-1",1.36,-3.712222,40.424167
"28079004","DV",98,4,"2013-1-1",6,-3.712222,40.424167
"28079004","DV",98,4,"2013-2-1",7,-3.712222,40.424167
"28079004","DV",98,4,"2013-3-1",4,-3.712222,40.424167
"28079004","DV",98,4,"2013-4-1",6,-3.712222,40.424167
"28079004","DV",98,4,"2013-5-1",6,-3.712222,40.424167
"28079004","DV",98,4,"2013-6-1",4,-3.712222,40.424167
"28079004","DV",98,4,"2013-7-1",11,-3.712222,40.424167
"28079004","DV",98,4,"2013-8-1",9,-3.712222,40.424167
"28079004","DV",98,4,"2013-9-1",11,-3.712222,40.424167
"28079004","DV",98,4,"2013-10-1",8,-3.712222,40.424167
"28079004","DV",98,4,"2013-11-1",6,-3.712222,40.424167
"28079004","DV",98,4,"2013-12-1",12,-3.712222,40.424167
"28079004","TMP",98,4,"2013-1-1",5.9,-3.712222,40.424167
"28079004","TMP",98,4,"2013-2-1",7.5,-3.712222,40.424167
"28079004","TMP",98,4,"2013-3-1",7.8,-3.712222,40.424167
"28079004","TMP",98,4,"2013-4-1",10.1,-3.712222,40.424167
"28079004","TMP",98,4,"2013-5-1",10.1,-3.712222,40.424167
"28079004","TMP",98,4,"2013-6-1",16.8,-3.712222,40.424167
"28079004","TMP",98,4,"2013-7-1",27.4,-3.712222,40.424167
"28079004","TMP",98,4,"2013-8-1",30.6,-3.712222,40.424167
"28079004","TMP",98,4,"2013-9-1",24.8,-3.712222,40.424167
"28079004","TMP",98,4,"2013-10-1",20.8,-3.712222,40.424167
"28079004","TMP",98,4,"2013-11-1",10.8,-3.712222,40.424167
