Station,Year,Month,Day,Magnitude,Value
28079001,2009,1,1,SO2,19.76
28079001,2009,1,1,CO,0.41
28079001,2009,1,1,NO,52.59
28079001,2009,1,1,PM2.5,17.97
28079001,2009,1,1,PM10,26.54
28079001,2009,1,1,NOx,91.78
28079001,2009,1,1,O3,13.45
28079001,2009,1,1,LLA,0
28079035,2009,1,1,SO2,17.93
28079035,2009,1,1,CO,0.48
28079035,2009,1,1,NO,50.83
28079035,2009,1,1,PM10,27.69
28079035,2009,1,1,NOx,77.14
28079035,2009,1,1,O3,15.7
28079004,2009,1,1,SO2,19.72
28079004,2009,1,1,CO,0.6
28079004,2009,1,1,NO,59.24
28079004,2009,1,1,PM10,34.08
28079004,2009,1,1,NOx,228.2
28079004,2009,1,1,O3,17.8
28079004,2009,1,1,VV,0.96
28079004,2009,1,1,DV,7.15
28079004,2009,1,1,TMP,9.17
28079004,2009,1,1,HR,80.8
28079004,2009,1,1,LLA,0
28079039,2009,1,1,SO2,10.18
28079039,2009,1,1,CO,0.35
28079039,2009,1,1,NO,48.54
28079039,2009,1,1,PM10,34.09
28079039,2009,1,1,NOx,77.21
28079039,2009,1,1,O3,15.01
28079039,2009,1,1,LLA,0
28079006,2009,1,1,SO2,21.06
28079006,2009,1,1,CO,0.51
28079006,2009,1,1,NO,61.65
28079006,2009,1,1,PM2.5,17.06
28079006,2009,1,1,PM10,31.53
28079006,2009,1,1,NOx,120.5
28079006,2009,1,1,O3,9
28079006,2009,1,1,TOL,4.17
28079006,2009,1,1,BEN,1.43
28079006,2009,1,1,EBE,1
28079006,2009,1,1,MXY,1.6
28079006,2009,1,1,PXY,0.84
28079006,2009,1,1,OXY,0.95
28079006,2009,1,1,TCH,1.53
28079006,2009,1,1,NMHC,0.13
28079007,2009,1,1,SO2,25.46
28079007,2009,1,1,CO,0.5
28079007,2009,1,1,NO,63.81
28079007,2009,1,1,PM10,27.82
28079007,2009,1,1,NOx,94.13
28079007,2009,1,1,O3,11.92
28079007,2009,1,1,TCH,1.54
28079007,2009,1,1,NMHC,0.14
28079007,2009,1,1,LLA,0
28079008,2009,1,1,SO2,17.31
28079008,2009,1,1,CO,0.44
28079008,2009,1,1,NO,53.26
28079008,2009,1,1,PM10,24.87
28079008,2009,1,1,NOx,85.9
28079008,2009,1,1,O3,11.97
28079008,2009,1,1,TOL,2.61
28079008,2009,1,1,BEN,0.24
28079008,2009,1,1,EBE,0.51
28079008,2009,1,1,TCH,1.56
28079008,2009,1,1,NMHC,0.1
28079009,2009,1,1,SO2,11.65
28079009,2009,1,1,CO,0.54
28079009,2009,1,1,NO,43.48
28079009,2009,1,1,PM10,47.23
28079009,2009,1,1,NOx,101.2
28079009,2009,1,1,O3,6.73
28079038,2009,1,1,SO2,22.2
28079038,2009,1,1,CO,0.41
28079038,2009,1,1,NO,51.05
28079038,2009,1,1,PM2.5,18.09
28079038,2009,1,1,PM10,30.5
28079038,2009,1,1,NOx,82.29
28079038,2009,1,1,O3,14.77
28079038,2009,1,1,TMP,10.71
28079038,2009,1,1,LLA,0
28079011,2009,1,1,SO2,19.79
28079011,2009,1,1,CO,0.32
28079011,2009,1,1,NO,52.34
28079011,2009,1,1,PM10,15.8
28079011,2009,1,1,NOx,77.93
28079011,2009,1,1,O3,16.95
28079011,2009,1,1,TCH,1.52
28079011,2009,1,1,NMHC,0.11
28079011,2009,1,1,LLA,0
28079012,2009,1,1,SO2,18.79
28079012,2009,1,1,CO,0.51
28079012,2009,1,1,NO,65.08
28079012,2009,1,1,PM10,23.36
28079012,2009,1,1,NOx,98.61
28079012,2009,1,1,O3,10.27
28079012,2009,1,1,LLA,0
28079040,2009,1,1,SO2,13.91
28079040,2009,1,1,CO,0.41
28079040,2009,1,1,NO,40.73
28079040,2009,1,1,PM10,31.33
28079040,2009,1,1,NOx,60.21
28079040,2009,1,1,O3,16.78
28079040,2009,1,1,LLA,0
28079014,2009,1,1,SO2,12.17
28079014,2009,1,1,CO,0.48
28079014,2009,1,1,NO,60.81
28079014,2009,1,1,PM10,34.95
28079014,2009,1,1,NOx,103.7
28079014,2009,1,1,O3,17.61
28079014,2009,1,1,VV,0.61
28079014,2009,1,1,DV,7.54
28079014,2009,1,1,TMP,12.3
28079014,2009,1,1,HR,90.19
28079014,2009,1,1,LLA,0
28079016,2009,1,1,SO2,11.35
28079016,2009,1,1,CO,0.4
28079016,2009,1,1,NO,47.78
28079016,2009,1,1,PM10,25.27
28079016,2009,1,1,NOx,73.82
28079016,2009,1,1,O3,16.26
28079016,2009,1,1,LLA,0
28079018,2009,1,1,SO2,22.14
28079018,2009,1,1,CO,0.53
28079018,2009,1,1,NO,54.84
28079018,2009,1,1,PM10,39.85
28079018,2009,1,1,NOx,89.8
28079018,2009,1,1,O3,11.9
28079018,2009,1,1,TMP,6.8
28079018,2009,1,1,LLA,0
28079019,2009,1,1,SO2,11.37
28079019,2009,1,1,CO,0.54
28079019,2009,1,1,NO,64.46
28079019,2009,1,1,PM10,24.27
28079019,2009,1,1,NOx,128.2
28079019,2009,1,1,O3,10.82
28079019,2009,1,1,LLA,0
28079036,2009,1,1,SO2,24.8
28079036,2009,1,1,CO,0.61
28079036,2009,1,1,NO,52.95
28079036,2009,1,1,PM10,28.93
28079036,2009,1,1,NOx,114.9
28079036,2009,1,1,O3,12.53
28079036,2009,1,1,LLA,0
28079021,2009,1,1,SO2,18.21
28079021,2009,1,1,CO,0.44
28079021,2009,1,1,NO,61.24
28079021,2009,1,1,PM10,17.7
28079021,2009,1,1,NOx,99.66
28079021,2009,1,1,O3,13.71
28079021,2009,1,1,TMP,9.64
28079021,2009,1,1,PRB,927.9
28079021,2009,1,1,LLA,0
28079022,2009,1,1,SO2,10.77
28079022,2009,1,1,CO,0.55
28079022,2009,1,1,NO,56.34
28079022,2009,1,1,PM2.5,23.98
28079022,2009,1,1,PM10,38.53
28079022,2009,1,1,NOx,108.6
28079022,2009,1,1,O3,8.73
28079023,2009,1,1,SO2,6.7
28079023,2009,1,1,CO,0.48
28079023,2009,1,1,NO,57.09
28079023,2009,1,1,NOx,99.98
28079023,2009,1,1,O3,13.32
28079023,2009,1,1,TOL,3.61
28079023,2009,1,1,BEN,1.53
28079023,2009,1,1,EBE,0.83
28079023,2009,1,1,TCH,1.86
28079023,2009,1,1,NMHC,0.21
28079024,2009,1,1,SO2,12.08
28079024,2009,1,1,CO,0.32
28079024,2009,1,1,NO,39.26
28079024,2009,1,1,PM2.5,17.77
28079024,2009,1,1,PM10,24.91
28079024,2009,1,1,NOx,52.43
28079024,2009,1,1,O3,17.16
28079024,2009,1,1,TOL,1.61
28079024,2009,1,1,BEN,0.89
28079024,2009,1,1,EBE,0.61
28079024,2009,1,1,MXY,1.51
28079024,2009,1,1,PXY,0.77
28079024,2009,1,1,OXY,0.37
28079024,2009,1,1,TCH,1.48
28079024,2009,1,1,NMHC,0.08
28079024,2009,1,1,UV,10.45
28079024,2009,1,1,VV,1.06
28079024,2009,1,1,DV,9.24
28079024,2009,1,1,TMP,8.95
28079024,2009,1,1,HR,76.51
28079024,2009,1,1,PRB,928.9
28079024,2009,1,1,RS,40.75
28079024,2009,1,1,LLA,0
28079025,2009,1,1,SO2,5.36
28079025,2009,1,1,CO,0.5
28079025,2009,1,1,NO,59.36
28079025,2009,1,1,PM10,27.41
28079025,2009,1,1,NOx,107.5
28079025,2009,1,1,O3,17.47
28079025,2009,1,1,UV,11.32
28079025,2009,1,1,VV,0.4
28079025,2009,1,1,DV,6.16
28079025,2009,1,1,TMP,10.21
28079025,2009,1,1,LLA,0
28079026,2009,1,1,SO2,8.55
28079026,2009,1,1,NO,78.31
28079026,2009,1,1,PM2.5,18.74
28079026,2009,1,1,PM10,26.68
28079026,2009,1,1,NOx,113.7
28079026,2009,1,1,O3,13.16
28079026,2009,1,1,TOL,0.29
28079026,2009,1,1,BEN,0.3
28079026,2009,1,1,EBE,0.98
28079026,2009,1,1,TCH,1.74
28079026,2009,1,1,NMHC,0.31
28079027,2009,1,1,SO2,7.88
28079027,2009,1,1,NO,42.76
28079027,2009,1,1,PM10,25.18
28079027,2009,1,1,NOx,77.32
28079027,2009,1,1,TOL,2.15
28079027,2009,1,1,BEN,0.66
28079027,2009,1,1,EBE,2.29
28079027,2009,1,1,TCH,1.6
28079027,2009,1,1,NMHC,0.17
28079099,2009,1,1,SO2,15.37
28079099,2009,1,1,CO,0.47
28079099,2009,1,1,NO,54.89
28079099,2009,1,1,PM2.5,18.93
28079099,2009,1,1,PM10,29.1
28079099,2009,1,1,NOx,98.48
28079099,2009,1,1,O3,13.63
28079099,2009,1,1,TOL,2.41
28079099,2009,1,1,BEN,0.84
28079099,2009,1,1,EBE,1.04
28079099,2009,1,1,MXY,1.56
28079099,2009,1,1,PXY,0.8
28079099,2009,1,1,OXY,0.66
28079099,2009,1,1,TCH,1.6
28079099,2009,1,1,NMHC,0.16
28079099,2009,1,1,UV,10.89
28079099,2009,1,1,VV,0.75
28079099,2009,1,1,DV,7.43
28079099,2009,1,1,TMP,9.69
28079099,2009,1,1,HR,82.5
28079099,2009,1,1,PRB,928.4
28079099,2009,1,1,RS,40.75
28079099,2009,1,1,LLA,0
28079001,2009,1,2,SO2,22.53
28079001,2009,1,2,CO,0.64
28079001,2009,1,2,NO,73.25
28079001,2009,1,2,PM2.5,22.85
28079001,2009,1,2,PM10,35.85
