Station,Year,Month,Day,Magnitude,Value
28079004,2015,1,1,SO2,15
28079004,2015,1,1,CO,0.8
28079004,2015,1,1,NO2,155
28079004,2015,1,1,NO,76
28079004,2015,1,1,VV,0.68
28079004,2015,1,1,DV,7
28079004,2015,1,1,TMP,3.2
28079004,2015,1,1,Unknown,15
28079004,2015,1,1,HR,75
28079004,2015,1,1,LLA,0
28079008,2015,1,1,SO2,20
28079008,2015,1,1,CO,1
28079008,2015,1,1,NO2,180
28079008,2015,1,1,NO,118
28079008,2015,1,1,PM2.5,33
28079008,2015,1,1,PM10,42
28079008,2015,1,1,O3,10
28079008,2015,1,1,TOL,9.1
28079008,2015,1,1,BEN,2.4
28079008,2015,1,1,EBE,1.1
28079008,2015,1,1,TCH,2.03
28079008,2015,1,1,NMHC,0.49
28079008,2015,1,1,Unknown,21
28079011,2015,1,1,NO2,144
28079011,2015,1,1,NO,106
28079011,2015,1,1,TOL,8.1
28079011,2015,1,1,BEN,3.9
28079011,2015,1,1,EBE,1.9
28079011,2015,1,1,Unknown,17
28079011,2015,1,1,LLA,0
28079016,2015,1,1,CO,1
28079016,2015,1,1,NO2,141
28079016,2015,1,1,NO,107
28079016,2015,1,1,O3,10
28079016,2015,1,1,Unknown,22
28079016,2015,1,1,LLA,0
28079017,2015,1,1,SO2,10
28079017,2015,1,1,NO2,244
28079017,2015,1,1,NO,118
28079017,2015,1,1,O3,6
28079017,2015,1,1,Unknown,19
28079018,2015,1,1,SO2,13
28079018,2015,1,1,CO,0.7
28079018,2015,1,1,NO2,110
28079018,2015,1,1,NO,81
28079018,2015,1,1,PM10,29
28079018,2015,1,1,O3,8
28079018,2015,1,1,TMP,6.2
28079018,2015,1,1,Unknown,24
28079018,2015,1,1,LLA,0
28079024,2015,1,1,SO2,5
28079024,2015,1,1,CO,0.6
28079024,2015,1,1,NO2,52
28079024,2015,1,1,NO,69
28079024,2015,1,1,PM2.5,23
28079024,2015,1,1,PM10,23
28079024,2015,1,1,O3,9
28079024,2015,1,1,TOL,0.4
28079024,2015,1,1,BEN,0.2
28079024,2015,1,1,EBE,0.1
28079024,2015,1,1,TCH,1.76
28079024,2015,1,1,NMHC,0.36
28079024,2015,1,1,UV,7
28079024,2015,1,1,VV,1.39
28079024,2015,1,1,DV,13
28079024,2015,1,1,TMP,3.9
28079024,2015,1,1,Unknown,24
28079024,2015,1,1,HR,66
28079024,2015,1,1,PRB,954
28079024,2015,1,1,RS,82
28079024,2015,1,1,LLA,0
28079027,2015,1,1,NO2,105
28079027,2015,1,1,NO,76
28079027,2015,1,1,O3,13
28079027,2015,1,1,Unknown,20
28079035,2015,1,1,SO2,16
28079035,2015,1,1,CO,1
28079035,2015,1,1,NO2,140
28079035,2015,1,1,NO,93
28079035,2015,1,1,O3,5
28079035,2015,1,1,Unknown,21
28079036,2015,1,1,SO2,19
28079036,2015,1,1,CO,1.3
28079036,2015,1,1,NO2,199
28079036,2015,1,1,NO,127
28079036,2015,1,1,PM10,64
28079036,2015,1,1,Unknown,21
28079036,2015,1,1,LLA,0
28079038,2015,1,1,SO2,17
28079038,2015,1,1,NO2,153
28079038,2015,1,1,NO,101
28079038,2015,1,1,PM10,33
28079038,2015,1,1,TOL,7.3
28079038,2015,1,1,BEN,2.4
28079038,2015,1,1,EBE,1.5
28079038,2015,1,1,TMP,6.3
28079038,2015,1,1,Unknown,23
28079038,2015,1,1,LLA,0
28079039,2015,1,1,CO,1.3
28079039,2015,1,1,NO2,218
28079039,2015,1,1,NO,125
28079039,2015,1,1,O3,6
28079039,2015,1,1,Unknown,19
28079039,2015,1,1,LLA,0
28079040,2015,1,1,SO2,14
28079040,2015,1,1,NO2,148
28079040,2015,1,1,NO,102
28079040,2015,1,1,PM10,42
28079040,2015,1,1,Unknown,23
28079040,2015,1,1,LLA,0
28079047,2015,1,1,NO2,126
28079047,2015,1,1,NO,93
28079047,2015,1,1,PM2.5,30
28079047,2015,1,1,PM10,33
28079047,2015,1,1,Unknown,20
28079048,2015,1,1,NO2,147
28079048,2015,1,1,NO,96
28079048,2015,1,1,PM10,41
28079048,2015,1,1,Unknown,17
28079049,2015,1,1,NO2,128
28079049,2015,1,1,NO,81
28079049,2015,1,1,O3,7
28079049,2015,1,1,Unknown,14
28079050,2015,1,1,NO2,137
28079050,2015,1,1,NO,112
28079050,2015,1,1,PM10,41
28079050,2015,1,1,TMP,7.9
28079050,2015,1,1,Unknown,22
28079054,2015,1,1,NO2,181
28079054,2015,1,1,NO,108
28079054,2015,1,1,O3,15
28079054,2015,1,1,UV,5
28079054,2015,1,1,VV,0.35
28079054,2015,1,1,DV,67
28079054,2015,1,1,TMP,5.7
28079054,2015,1,1,Unknown,13
28079054,2015,1,1,LLA,0
28079055,2015,1,1,NO2,137
28079055,2015,1,1,NO,94
28079055,2015,1,1,PM10,32
28079055,2015,1,1,TOL,5.2
28079055,2015,1,1,BEN,2.1
28079055,2015,1,1,EBE,1.1
28079055,2015,1,1,TCH,2.44
28079055,2015,1,1,NMHC,1
28079055,2015,1,1,Unknown,20
28079056,2015,1,1,CO,1
28079056,2015,1,1,NO2,160
28079056,2015,1,1,NO,105
28079056,2015,1,1,O3,11
28079056,2015,1,1,VV,0.26
28079056,2015,1,1,DV,3
28079056,2015,1,1,Unknown,17
28079057,2015,1,1,SO2,12
28079057,2015,1,1,CO,0.7
28079057,2015,1,1,NO2,99
28079057,2015,1,1,NO,97
28079057,2015,1,1,PM10,29
28079057,2015,1,1,TMP,5.5
28079057,2015,1,1,Unknown,19
28079058,2015,1,1,NO2,11
28079058,2015,1,1,NO,40
28079058,2015,1,1,O3,12
28079058,2015,1,1,Unknown,12
28079059,2015,1,1,NO2,85
28079059,2015,1,1,NO,69
28079059,2015,1,1,O3,20
28079059,2015,1,1,UV,5
28079059,2015,1,1,VV,0.64
28079059,2015,1,1,DV,151
28079059,2015,1,1,TMP,4
28079059,2015,1,1,Unknown,14
28079059,2015,1,1,HR,64
28079059,2015,1,1,PRB,952
28079059,2015,1,1,RS,138
28079059,2015,1,1,LLA,0
28079060,2015,1,1,NO2,101
28079060,2015,1,1,NO,93
28079060,2015,1,1,PM10,30
28079060,2015,1,1,O3,15
28079060,2015,1,1,Unknown,25
28079060,2015,1,1,PRB,940
28079060,2015,1,1,LLA,0
28079004,2015,1,2,SO2,19
28079004,2015,1,2,CO,1
28079004,2015,1,2,NO2,235
28079004,2015,1,2,NO,89
28079004,2015,1,2,VV,0.67
28079004,2015,1,2,DV,7
28079004,2015,1,2,TMP,3.8
28079004,2015,1,2,Unknown,15
28079004,2015,1,2,HR,77
28079004,2015,1,2,LLA,0
28079008,2015,1,2,SO2,22
28079008,2015,1,2,CO,1.1
28079008,2015,1,2,NO2,202
28079008,2015,1,2,NO,125
28079008,2015,1,2,PM2.5,22
28079008,2015,1,2,PM10,36
28079008,2015,1,2,O3,6
28079008,2015,1,2,TOL,11.1
28079008,2015,1,2,BEN,2.4
28079008,2015,1,2,EBE,1.5
28079008,2015,1,2,TCH,2.01
28079008,2015,1,2,NMHC,0.47
28079008,2015,1,2,Unknown,21
28079011,2015,1,2,NO2,192
28079011,2015,1,2,NO,119
28079011,2015,1,2,TOL,10.4
28079011,2015,1,2,BEN,4
28079011,2015,1,2,EBE,2.4
28079011,2015,1,2,Unknown,17
28079011,2015,1,2,LLA,0
28079016,2015,1,2,CO,0.9
28079016,2015,1,2,NO2,136
28079016,2015,1,2,NO,106
28079016,2015,1,2,O3,8
28079016,2015,1,2,Unknown,22
28079016,2015,1,2,LLA,0
28079017,2015,1,2,SO2,11
28079017,2015,1,2,NO2,286
28079017,2015,1,2,NO,131
28079017,2015,1,2,O3,2
28079017,2015,1,2,Unknown,19
28079018,2015,1,2,SO2,13
28079018,2015,1,2,CO,0.7
28079018,2015,1,2,NO2,134
28079018,2015,1,2,NO,91
28079018,2015,1,2,PM10,28
28079018,2015,1,2,O3,4
28079018,2015,1,2,TMP,6.9
28079018,2015,1,2,Unknown,22
28079018,2015,1,2,LLA,0
28079024,2015,1,2,SO2,6
28079024,2015,1,2,CO,0.5
28079024,2015,1,2,NO2,70
28079024,2015,1,2,NO,74
28079024,2015,1,2,PM2.5,18
28079024,2015,1,2,PM10,20
28079024,2015,1,2,O3,5
28079024,2015,1,2,TOL,0.5
28079024,2015,1,2,BEN,0.2
28079024,2015,1,2,EBE,0.1
28079024,2015,1,2,TCH,1.71
28079024,2015,1,2,NMHC,0.35
28079024,2015,1,2,UV,7
28079024,2015,1,2,VV,1.15
28079024,2015,1,2,DV,4
28079024,2015,1,2,TMP,4.3
28079024,2015,1,2,Unknown,24
28079024,2015,1,2,HR,69
28079024,2015,1,2,PRB,958
28079024,2015,1,2,RS,79
28079024,2015,1,2,LLA,1.8
28079027,2015,1,2,NO2,94
28079027,2015,1,2,NO,74
28079027,2015,1,2,O3,11
28079027,2015,1,2,Unknown,20
28079035,2015,1,2,SO2,21
28079035,2015,1,2,CO,1.1
28079035,2015,1,2,NO2,165
28079035,2015,1,2,NO,103
28079035,2015,1,2,O3,2
28079035,2015,1,2,Unknown,21
28079036,2015,1,2,SO2,15
28079036,2015,1,2,CO,0.9
28079036,2015,1,2,NO2,148
28079036,2015,1,2,NO,113
28079036,2015,1,2,PM10,34
28079036,2015,1,2,Unknown,21
28079036,2015,1,2,LLA,0
28079038,2015,1,2,SO2,19
28079038,2015,1,2,NO2,226
28079038,2015,1,2,NO,112
28079038,2015,1,2,PM10,29
28079038,2015,1,2,TOL,11.5
28079038,2015,1,2,BEN,3
28079038,2015,1,2,EBE,2.1
28079038,2015,1,2,TMP,6.9
28079038,2015,1,2,Unknown,23
28079038,2015,1,2,LLA,0.5
28079039,2015,1,2,CO,1.5
28079039,2015,1,2,NO2,327
28079039,2015,1,2,NO,165
28079039,2015,1,2,O3,5
28079039,2015,1,2,Unknown,19
28079039,2015,1,2,LLA,0
28079040,2015,1,2,SO2,15
28079040,2015,1,2,NO2,137
28079040,2015,1,2,NO,105
28079040,2015,1,2,PM10,30
28079040,2015,1,2,Unknown,23
28079040,2015,1,2,LLA,0
28079047,2015,1,2,NO2,141
28079047,2015,1,2,NO,100
28079047,2015,1,2,PM2.5,23
28079047,2015,1,2,PM10,30
28079047,2015,1,2,Unknown,20
28079048,2015,1,2,NO2,137
28079048,2015,1,2,NO,96
28079048,2015,1,2,PM10,32
28079048,2015,1,2,Unknown,17
28079049,2015,1,2,NO2,134
28079049,2015,1,2,NO,89
28079049,2015,1,2,O3,1
28079049,2015,1,2,Unknown,15
28079050,2015,1,2,NO2,157
28079050,2015,1,2,NO,116
28079050,2015,1,2,PM10,31
28079050,2015,1,2,TMP,7.9
28079050,2015,1,2,Unknown,22
28079054,2015,1,2,NO2,178
28079054,2015,1,2,NO,117
28079054,2015,1,2,O3,8
28079054,2015,1,2,UV,5
28079054,2015,1,2,VV,0.31
28079054,2015,1,2,DV,59
28079054,2015,1,2,TMP,6.8
28079054,2015,1,2,Unknown,14
28079054,2015,1,2,LLA,0
28079055,2015,1,2,NO2,133
28079055,2015,1,2,NO,96
28079055,2015,1,2,PM10,24
28079055,2015,1,2,TOL,3.8
28079055,2015,1,2,BEN,1.6
28079055,2015,1,2,EBE,0.7
28079055,2015,1,2,TCH,2.31
28079055,2015,1,2,NMHC,0.92
28079055,2015,1,2,Unknown,20
28079056,2015,1,2,CO,1.1
28079056,2015,1,2,NO2,221
28079056,2015,1,2,NO,126
28079056,2015,1,2,O3,7
28079056,2015,1,2,VV,0.25
28079056,2015,1,2,DV,3
28079056,2015,1,2,Unknown,17
28079057,2015,1,2,SO2,13
28079057,2015,1,2,CO,0.8
28079057,2015,1,2,NO2,163
28079057,2015,1,2,NO,116
28079057,2015,1,2,PM10,27
28079057,2015,1,2,TMP,6.1
28079057,2015,1,2,Unknown,19
28079058,2015,1,2,NO2,11
28079058,2015,1,2,NO,36
28079058,2015,1,2,O3,10
28079058,2015,1,2,Unknown,12
28079059,2015,1,2,NO2,68
28079059,2015,1,2,NO,61
28079059,2015,1,2,O3,22
28079059,2015,1,2,UV,5
28079059,2015,1,2,VV,0.56
28079059,2015,1,2,DV,271
28079059,2015,1,2,TMP,4.8
28079059,2015,1,2,Unknown,15
28079059,2015,1,2,HR,62
28079059,2015,1,2,PRB,955
28079059,2015,1,2,RS,130
28079059,2015,1,2,LLA,0
28079060,2015,1,2,NO2,130
28079060,2015,1,2,NO,102
28079060,2015,1,2,PM10,24
28079060,2015,1,2,O3,13
28079060,2015,1,2,Unknown,25
28079060,2015,1,2,PRB,943
28079060,2015,1,2,LLA,0
28079004,2015,1,3,SO2,17
28079004,2015,1,3,CO,0.9
28079004,2015,1,3,NO2,198
28079004,2015,1,3,NO,80
28079004,2015,1,3,VV,0.67
28079004,2015,1,3,DV,7
28079004,2015,1,3,TMP,4.7
28079004,2015,1,3,Unknown,16
28079004,2015,1,3,HR,76
28079004,2015,1,3,LLA,0
28079008,2015,1,3,SO2,18
28079008,2015,1,3,CO,0.8
28079008,2015,1,3,NO2,145
28079008,2015,1,3,NO,103
28079008,2015,1,3,PM2.5,18
28079008,2015,1,3,PM10,30
28079008,2015,1,3,O3,6
28079008,2015,1,3,TOL,9.1
28079008,2015,1,3,BEN,1.9
28079008,2015,1,3,EBE,1
28079008,2015,1,3,TCH,1.99
28079008,2015,1,3,NMHC,0.41
28079008,2015,1,3,Unknown,21
28079011,2015,1,3,NO2,138
28079011,2015,1,3,NO,98
28079011,2015,1,3,TOL,8.8
28079011,2015,1,3,BEN,3.6
28079011,2015,1,3,EBE,2
28079011,2015,1,3,Unknown,17
28079011,2015,1,3,LLA,0
28079016,2015,1,3,CO,0.7
28079016,2015,1,3,NO2,94
28079016,2015,1,3,NO,89
28079016,2015,1,3,O3,9
28079016,2015,1,3,Unknown,22
28079016,2015,1,3,LLA,0
28079017,2015,1,3,SO2,11
28079017,2015,1,3,NO2,275
28079017,2015,1,3,NO,122
28079017,2015,1,3,O3,3
28079017,2015,1,3,Unknown,19
28079018,2015,1,3,SO2,11
28079018,2015,1,3,CO,0.6
28079018,2015,1,3,NO2,120
28079018,2015,1,3,NO,82
28079018,2015,1,3,PM10,24
28079018,2015,1,3,O3,5
28079018,2015,1,3,TOL,5.7
28079018,2015,1,3,BEN,1.5
28079018,2015,1,3,EBE,0.5
28079018,2015,1,3,TMP,7.3
28079018,2015,1,3,Unknown,21
28079018,2015,1,3,LLA,0
28079024,2015,1,3,SO2,6
28079024,2015,1,3,CO,0.5
28079024,2015,1,3,NO2,75
28079024,2015,1,3,NO,73
28079024,2015,1,3,PM2.5,17
28079024,2015,1,3,PM10,21
28079024,2015,1,3,O3,5
28079024,2015,1,3,TOL,0.8
28079024,2015,1,3,BEN,0.2
28079024,2015,1,3,EBE,0.1
28079024,2015,1,3,TCH,1.74
28079024,2015,1,3,NMHC,0.36
28079024,2015,1,3,UV,8
28079024,2015,1,3,VV,1.25
28079024,2015,1,3,DV,4
28079024,2015,1,3,TMP,5.3
28079024,2015,1,3,Unknown,24
28079024,2015,1,3,HR,69
28079024,2015,1,3,PRB,958
28079024,2015,1,3,RS,82
28079024,2015,1,3,LLA,0
28079027,2015,1,3,NO2,88
28079027,2015,1,3,NO,70
28079027,2015,1,3,O3,10
28079027,2015,1,3,Unknown,20
28079035,2015,1,3,SO2,20
28079035,2015,1,3,CO,1
28079035,2015,1,3,NO2,146
28079035,2015,1,3,NO,96
28079035,2015,1,3,O3,3
28079035,2015,1,3,Unknown,22
28079036,2015,1,3,SO2,12
28079036,2015,1,3,CO,0.7
28079036,2015,1,3,NO2,100
28079036,2015,1,3,NO,89
28079036,2015,1,3,PM10,23
28079036,2015,1,3,Unknown,21
28079036,2015,1,3,LLA,0
28079038,2015,1,3,SO2,19
28079038,2015,1,3,NO2,212
28079038,2015,1,3,NO,101
28079038,2015,1,3,PM10,26
28079038,2015,1,3,TOL,12.8
28079038,2015,1,3,BEN,2.8
28079038,2015,1,3,EBE,2.1
28079038,2015,1,3,TMP,7.7
28079038,2015,1,3,Unknown,23
28079038,2015,1,3,LLA,0
28079039,2015,1,3,CO,1.5
28079039,2015,1,3,NO2,301
28079039,2015,1,3,NO,143
28079039,2015,1,3,O3,4
28079039,2015,1,3,Unknown,20
28079039,2015,1,3,LLA,0
28079040,2015,1,3,SO2,11
28079040,2015,1,3,NO2,71
28079040,2015,1,3,NO,81
28079040,2015,1,3,PM10,20
28079040,2015,1,3,Unknown,24
28079040,2015,1,3,LLA,0
28079047,2015,1,3,NO2,138
28079047,2015,1,3,NO,93
28079047,2015,1,3,PM2.5,22
28079047,2015,1,3,PM10,28
28079047,2015,1,3,Unknown,21
28079048,2015,1,3,NO2,96
28079048,2015,1,3,NO,84
28079048,2015,1,3,PM10,24
28079048,2015,1,3,Unknown,17
28079049,2015,1,3,NO2,93
28079049,2015,1,3,NO,76
28079049,2015,1,3,O3,2
28079049,2015,1,3,Unknown,15
28079050,2015,1,3,NO2,108
28079050,2015,1,3,NO,99
28079050,2015,1,3,PM10,25
28079050,2015,1,3,TMP,8.9
28079050,2015,1,3,Unknown,22
28079054,2015,1,3,NO2,148
28079054,2015,1,3,NO,99
28079054,2015,1,3,O3,11
28079054,2015,1,3,UV,6
28079054,2015,1,3,VV,0.42
28079054,2015,1,3,DV,48
28079054,2015,1,3,TMP,7.6
28079054,2015,1,3,Unknown,14
28079054,2015,1,3,LLA,0
28079055,2015,1,3,NO2,142
28079055,2015,1,3,NO,96
28079055,2015,1,3,PM10,24
28079055,2015,1,3,TOL,4.5
28079055,2015,1,3,BEN,1.7
28079055,2015,1,3,EBE,1
28079055,2015,1,3,TCH,2.43
28079055,2015,1,3,NMHC,0.93
28079055,2015,1,3,Unknown,21
28079056,2015,1,3,CO,1
28079056,2015,1,3,NO2,201
28079056,2015,1,3,NO,115
28079056,2015,1,3,O3,8
28079056,2015,1,3,VV,0.25
28079056,2015,1,3,DV,8
28079056,2015,1,3,Unknown,17
28079057,2015,1,3,SO2,12
28079057,2015,1,3,CO,0.7
28079057,2015,1,3,NO2,138
28079057,2015,1,3,NO,99
28079057,2015,1,3,PM10,23
28079057,2015,1,3,TMP,6.8
28079057,2015,1,3,Unknown,19
28079058,2015,1,3,NO2,14
28079058,2015,1,3,NO,40
28079058,2015,1,3,O3,9
28079058,2015,1,3,Unknown,13
28079059,2015,1,3,NO2,48
28079059,2015,1,3,NO,53
28079059,2015,1,3,O3,24
28079059,2015,1,3,UV,6
28079059,2015,1,3,VV,0.47
28079059,2015,1,3,DV,267
28079059,2015,1,3,TMP,5.7
28079059,2015,1,3,Unknown,15
28079059,2015,1,3,HR,62
28079059,2015,1,3,PRB,955
28079059,2015,1,3,RS,131
28079059,2015,1,3,LLA,0
28079060,2015,1,3,NO2,84
28079060,2015,1,3,NO,82
28079060,2015,1,3,PM10,19
28079060,2015,1,3,O3,14
28079060,2015,1,3,Unknown,25
28079060,2015,1,3,PRB,943
28079060,2015,1,3,LLA,0
28079004,2015,1,4,SO2,21
28079004,2015,1,4,CO,1.3
28079004,2015,1,4,NO2,259
28079004,2015,1,4,NO,97
28079004,2015,1,4,VV,0.63
28079004,2015,1,4,DV,7
28079004,2015,1,4,TMP,5.9
28079004,2015,1,4,Unknown,16
28079004,2015,1,4,HR,74
28079004,2015,1,4,LLA,0
28079008,2015,1,4,SO2,22
28079008,2015,1,4,CO,1.1
28079008,2015,1,4,NO2,171
28079008,2015,1,4,NO,119
28079008,2015,1,4,PM2.5,18
28079008,2015,1,4,PM10,33
28079008,2015,1,4,O3,8
28079008,2015,1,4,TOL,9.7
28079008,2015,1,4,BEN,2.3
28079008,2015,1,4,EBE,1.5
28079008,2015,1,4,TCH,1.84
28079008,2015,1,4,NMHC,0.42
28079008,2015,1,4,Unknown,21
28079011,2015,1,4,NO2,124
28079011,2015,1,4,NO,98
28079011,2015,1,4,TOL,8.1
28079011,2015,1,4,BEN,3.5
28079011,2015,1,4,EBE,2.6
28079011,2015,1,4,Unknown,18
28079011,2015,1,4,LLA,0
28079016,2015,1,4,CO,0.6
28079016,2015,1,4,NO2,66
28079016,2015,1,4,NO,80
28079016,2015,1,4,O3,14
28079016,2015,1,4,Unknown,22
28079016,2015,1,4,LLA,0
28079017,2015,1,4,SO2,9
28079017,2015,1,4,NO2,230
28079017,2015,1,4,NO,117
28079017,2015,1,4,O3,6
28079017,2015,1,4,Unknown,20
28079018,2015,1,4,SO2,12
28079018,2015,1,4,CO,0.6
28079018,2015,1,4,NO2,104
28079018,2015,1,4,NO,83
28079018,2015,1,4,PM10,22
28079018,2015,1,4,O3,6
28079018,2015,1,4,TOL,5.3
28079018,2015,1,4,BEN,1.5
28079018,2015,1,4,EBE,0.6
28079018,2015,1,4,TMP,8.6
28079018,2015,1,4,Unknown,21
28079018,2015,1,4,LLA,0
28079024,2015,1,4,SO2,7
28079024,2015,1,4,CO,0.5
28079024,2015,1,4,NO2,60
28079024,2015,1,4,NO,72
28079024,2015,1,4,PM2.5,16
28079024,2015,1,4,PM10,18
28079024,2015,1,4,O3,6
28079024,2015,1,4,TOL,0.6
28079024,2015,1,4,BEN,0.2
28079024,2015,1,4,EBE,0.1
28079024,2015,1,4,TCH,1.68
