Station,Year,Month,Day,Magnitude,Value
28079004,2011,1,1,SO2,8
28079004,2011,1,1,CO,0.4
28079004,2011,1,1,NO2,28
28079004,2011,1,1,NO,36
28079004,2011,1,1,VV,1.33
28079004,2011,1,1,DV,8
28079004,2011,1,1,TMP,9.2
28079004,2011,1,1,HR,71
28079004,2011,1,1,LLA,0
28079008,2011,1,1,SO2,13
28079008,2011,1,1,CO,0.4
28079008,2011,1,1,NO2,21
28079008,2011,1,1,NO,50
28079008,2011,1,1,PM2.5,11
28079008,2011,1,1,PM10,16
28079008,2011,1,1,O3,18
28079008,2011,1,1,TOL,1.9
28079008,2011,1,1,BEN,0.9
28079008,2011,1,1,EBE,1.4
28079008,2011,1,1,TCH,1.32
28079008,2011,1,1,NMHC,0.16
28079011,2011,1,1,NO2,29
28079011,2011,1,1,NO,48
28079011,2011,1,1,TOL,3.2
28079011,2011,1,1,BEN,1.8
28079011,2011,1,1,EBE,0.4
28079011,2011,1,1,LLA,0
28079016,2011,1,1,CO,0.3
28079016,2011,1,1,NO2,12
28079016,2011,1,1,NO,41
28079016,2011,1,1,O3,23
28079016,2011,1,1,LLA,0
28079017,2011,1,1,SO2,10
28079017,2011,1,1,NO2,22
28079017,2011,1,1,NO,52
28079017,2011,1,1,O3,11
28079018,2011,1,1,SO2,9
28079018,2011,1,1,CO,0.5
28079018,2011,1,1,NO2,20
28079018,2011,1,1,NO,44
28079018,2011,1,1,PM10,15
28079018,2011,1,1,O3,16
28079018,2011,1,1,TOL,1.4
28079018,2011,1,1,BEN,0.2
28079018,2011,1,1,EBE,0.3
28079018,2011,1,1,TMP,11.8
28079018,2011,1,1,LLA,0
28079024,2011,1,1,SO2,7
28079024,2011,1,1,CO,0.3
28079024,2011,1,1,NO2,4
28079024,2011,1,1,NO,27
28079024,2011,1,1,PM2.5,9
28079024,2011,1,1,PM10,11
28079024,2011,1,1,O3,23
28079024,2011,1,1,TOL,1
28079024,2011,1,1,BEN,0.6
28079024,2011,1,1,EBE,0.9
28079024,2011,1,1,TCH,1.31
28079024,2011,1,1,NMHC,0.13
28079024,2011,1,1,UV,8
28079024,2011,1,1,VV,1.39
28079024,2011,1,1,DV,11
28079024,2011,1,1,TMP,8.6
28079024,2011,1,1,HR,74
28079024,2011,1,1,PRB,927
28079024,2011,1,1,RS,69
28079024,2011,1,1,LLA,0
28079027,2011,1,1,NO2,16
28079027,2011,1,1,NO,42
28079027,2011,1,1,O3,22
28079027,2011,1,1,TCH,1.41
28079027,2011,1,1,NMHC,0.22
28079035,2011,1,1,SO2,12
28079035,2011,1,1,CO,0.4
28079035,2011,1,1,NO2,21
28079035,2011,1,1,NO,48
28079035,2011,1,1,O3,16
28079036,2011,1,1,SO2,14
28079036,2011,1,1,CO,0.4
28079036,2011,1,1,NO2,20
28079036,2011,1,1,NO,45
28079036,2011,1,1,PM10,16
28079036,2011,1,1,LLA,0
28079038,2011,1,1,SO2,13
28079038,2011,1,1,NO2,22
28079038,2011,1,1,NO,53
28079038,2011,1,1,PM2.5,10
28079038,2011,1,1,PM10,15
