Station,Year,Month,Day,Magnitude,Value
28079057,2014,1,1,TMP,8.2
28079057,2014,1,1,Unknown,22
28079058,2014,1,1,NO2,1
28079058,2014,1,1,NO,8
28079058,2014,1,1,O3,36
28079058,2014,1,1,Unknown,16
28079059,2014,1,1,NO2,3
28079059,2014,1,1,NO,13
28079059,2014,1,1,O3,37
28079059,2014,1,1,UV,3
28079059,2014,1,1,VV,2.41
28079059,2014,1,1,DV,197
28079059,2014,1,1,TMP,8.1
28079059,2014,1,1,Unknown,19
28079059,2014,1,1,HR,98
28079059,2014,1,1,PRB,935
28079059,2014,1,1,RS,50
28079059,2014,1,1,LLA,3
28079060,2014,1,1,NO2,3
28079060,2014,1,1,NO,20
28079060,2014,1,1,PM10,6
28079060,2014,1,1,O3,42
28079060,2014,1,1,Unknown,19
28079060,2014,1,1,PRB,929
28079060,2014,1,1,LLA,3
28079004,2014,1,2,SO2,4
28079004,2014,1,2,CO,0.3
28079004,2014,1,2,NO2,26
28079004,2014,1,2,NO,36
28079004,2014,1,2,VV,1.27
28079004,2014,1,2,DV,9
28079004,2014,1,2,TMP,10.7
28079004,2014,1,2,Unknown,20
28079004,2014,1,2,HR,97
28079004,2014,1,2,LLA,5.5
28079008,2014,1,2,SO2,6
28079008,2014,1,2,CO,0.2
28079008,2014,1,2,NO2,35
28079008,2014,1,2,NO,45
28079008,2014,1,2,PM2.5,7
28079008,2014,1,2,PM10,9
28079008,2014,1,2,O3,26
28079008,2014,1,2,TOL,1.6
28079008,2014,1,2,BEN,0.5
28079008,2014,1,2,EBE,0.6
28079008,2014,1,2,Unknown,21
28079011,2014,1,2,NO2,17
28079011,2014,1,2,NO,33
28079011,2014,1,2,TOL,3
28079011,2014,1,2,BEN,1.4
28079011,2014,1,2,EBE,0.7
28079011,2014,1,2,Unknown,17
28079011,2014,1,2,LLA,8
28079016,2014,1,2,CO,0.3
28079016,2014,1,2,NO2,13
28079016,2014,1,2,NO,37
28079016,2014,1,2,O3,33
28079016,2014,1,2,Unknown,21
28079016,2014,1,2,LLA,9.5
28079017,2014,1,2,SO2,5
28079017,2014,1,2,NO2,11
28079017,2014,1,2,NO,27
28079017,2014,1,2,O3,35
28079017,2014,1,2,Unknown,22
28079018,2014,1,2,SO2,5
28079018,2014,1,2,CO,0.3
28079018,2014,1,2,NO2,9
28079018,2014,1,2,NO,27
28079018,2014,1,2,PM10,6
28079018,2014,1,2,O3,44
28079018,2014,1,2,TOL,1.2
28079018,2014,1,2,BEN,0.2
28079018,2014,1,2,EBE,0.8
28079018,2014,1,2,TMP,12.1
28079018,2014,1,2,Unknown,25
28079018,2014,1,2,LLA,5.5
28079024,2014,1,2,SO2,2
28079024,2014,1,2,CO,0.2
28079024,2014,1,2,NO2,3
28079024,2014,1,2,NO,15
28079024,2014,1,2,PM2.5,4
28079024,2014,1,2,PM10,5
28079024,2014,1,2,O3,43
28079024,2014,1,2,TOL,0.9
28079024,2014,1,2,BEN,0.1
28079024,2014,1,2,EBE,0.8
28079024,2014,1,2,TCH,1.32
28079024,2014,1,2,NMHC,0.24
28079024,2014,1,2,UV,3
28079024,2014,1,2,VV,4.26
28079024,2014,1,2,DV,7
28079024,2014,1,2,TMP,11.1
28079024,2014,1,2,Unknown,19
28079024,2014,1,2,HR,99
28079024,2014,1,2,PRB,933
28079024,2014,1,2,RS,22
28079024,2014,1,2,LLA,4
28079027,2014,1,2,NO2,5
28079027,2014,1,2,NO,29
28079027,2014,1,2,O3,37
28079027,2014,1,2,TCH,1.37
28079027,2014,1,2,NMHC,0.17
28079027,2014,1,2,Unknown,23
28079035,2014,1,2,SO2,5
28079035,2014,1,2,CO,0.3
28079035,2014,1,2,NO2,13
28079035,2014,1,2,NO,33
28079035,2014,1,2,O3,35
28079035,2014,1,2,Unknown,23
28079036,2014,1,2,SO2,1
28079036,2014,1,2,CO,0.3
28079036,2014,1,2,NO2,6
28079036,2014,1,2,NO,26
28079036,2014,1,2,PM10,9
28079036,2014,1,2,Unknown,25
28079036,2014,1,2,LLA,5.5
28079038,2014,1,2,SO2,3
28079038,2014,1,2,NO2,13
28079038,2014,1,2,NO,32
28079038,2014,1,2,PM2.5,6
28079038,2014,1,2,PM10,6
28079038,2014,1,2,TOL,1.2
28079038,2014,1,2,BEN,0.4
28079038,2014,1,2,EBE,0.6
28079038,2014,1,2,TMP,10.4
28079038,2014,1,2,Unknown,24
28079038,2014,1,2,LLA,6
28079039,2014,1,2,CO,0.3
28079039,2014,1,2,NO2,19
28079039,2014,1,2,NO,36
28079039,2014,1,2,O3,33
28079039,2014,1,2,Unknown,23
28079039,2014,1,2,LLA,7
28079040,2014,1,2,SO2,3
28079040,2014,1,2,NO2,7
28079040,2014,1,2,NO,28
28079040,2014,1,2,PM10,6
28079040,2014,1,2,Unknown,24
28079040,2014,1,2,LLA,6
28079047,2014,1,2,NO2,7
28079047,2014,1,2,NO,27
28079047,2014,1,2,PM2.5,5
28079047,2014,1,2,PM10,6
28079047,2014,1,2,Unknown,23
28079048,2014,1,2,NO2,20
28079048,2014,1,2,NO,44
28079048,2014,1,2,PM2.5,6
28079048,2014,1,2,PM10,9
28079048,2014,1,2,Unknown,21
28079049,2014,1,2,NO2,7
28079049,2014,1,2,NO,33
28079049,2014,1,2,O3,20
28079049,2014,1,2,Unknown,17
28079050,2014,1,2,NO2,33
28079050,2014,1,2,NO,42
28079050,2014,1,2,PM2.5,8
28079050,2014,1,2,PM10,10
28079050,2014,1,2,TMP,10.2
28079050,2014,1,2,Unknown,21
28079055,2014,1,2,NO2,8
28079055,2014,1,2,NO,33
28079055,2014,1,2,PM10,6
28079055,2014,1,2,TOL,1
28079055,2014,1,2,BEN,0.4
28079055,2014,1,2,EBE,0.5
28079055,2014,1,2,TCH,1.46
28079055,2014,1,2,NMHC,0.13
28079055,2014,1,2,Unknown,26
28079056,2014,1,2,CO,0.4
28079056,2014,1,2,NO2,29
28079056,2014,1,2,NO,37
28079056,2014,1,2,O3,33
28079056,2014,1,2,VV,1.45
28079056,2014,1,2,DV,9
28079056,2014,1,2,TMP,12.4
28079056,2014,1,2,Unknown,18
28079056,2014,1,2,HR,95
28079056,2014,1,2,LLA,3.5
28079057,2014,1,2,SO2,9
28079057,2014,1,2,CO,0.3
28079057,2014,1,2,NO2,9
28079057,2014,1,2,NO,30
28079057,2014,1,2,PM10,5
28079057,2014,1,2,TMP,10.8
28079057,2014,1,2,Unknown,22
28079058,2014,1,2,NO2,1
28079058,2014,1,2,NO,7
28079058,2014,1,2,O3,47
28079058,2014,1,2,Unknown,18
28079059,2014,1,2,NO2,4
28079059,2014,1,2,NO,17
28079059,2014,1,2,O3,34
28079059,2014,1,2,UV,2
28079059,2014,1,2,VV,3.35
28079059,2014,1,2,DV,184
28079059,2014,1,2,TMP,10.4
28079059,2014,1,2,Unknown,20
28079059,2014,1,2,HR,99
28079059,2014,1,2,PRB,932
28079059,2014,1,2,RS,41
28079059,2014,1,2,LLA,10
28079060,2014,1,2,NO2,4
28079060,2014,1,2,NO,21
28079060,2014,1,2,PM10,6
28079060,2014,1,2,O3,47
28079060,2014,1,2,Unknown,21
28079060,2014,1,2,PRB,926
28079060,2014,1,2,LLA,8.5
28079004,2014,1,3,SO2,4
28079004,2014,1,3,CO,0.3
28079004,2014,1,3,NO2,29
28079004,2014,1,3,NO,37
28079004,2014,1,3,VV,1.16
28079004,2014,1,3,DV,8
28079004,2014,1,3,TMP,11.7
28079004,2014,1,3,Unknown,20
28079004,2014,1,3,HR,97
28079004,2014,1,3,LLA,7
28079008,2014,1,3,SO2,4
28079008,2014,1,3,CO,0.2
28079008,2014,1,3,NO2,36
28079008,2014,1,3,NO,49
28079008,2014,1,3,PM2.5,8
28079008,2014,1,3,PM10,12
28079008,2014,1,3,O3,26
28079008,2014,1,3,TOL,2.4
28079008,2014,1,3,BEN,0.5
28079008,2014,1,3,EBE,0.6
28079008,2014,1,3,Unknown,21
28079011,2014,1,3,NO2,12
28079011,2014,1,3,NO,31
28079011,2014,1,3,TOL,2.8
28079011,2014,1,3,BEN,1.3
28079011,2014,1,3,EBE,0.7
28079011,2014,1,3,Unknown,17
28079011,2014,1,3,LLA,8.5
28079016,2014,1,3,CO,0.3
28079016,2014,1,3,NO2,14
28079016,2014,1,3,NO,38
28079016,2014,1,3,O3,36
28079016,2014,1,3,Unknown,23
28079016,2014,1,3,LLA,5.5
28079017,2014,1,3,SO2,5
28079017,2014,1,3,NO2,10
28079017,2014,1,3,NO,28
28079017,2014,1,3,O3,37
28079017,2014,1,3,Unknown,22
28079018,2014,1,3,SO2,4
28079018,2014,1,3,CO,0.3
28079018,2014,1,3,NO2,6
28079018,2014,1,3,NO,28
28079018,2014,1,3,PM10,7
28079018,2014,1,3,O3,45
28079018,2014,1,3,TOL,1
28079018,2014,1,3,BEN,0.2
28079018,2014,1,3,EBE,0.8
28079018,2014,1,3,TMP,12.9
28079018,2014,1,3,Unknown,25
28079018,2014,1,3,LLA,7
28079024,2014,1,3,SO2,2
28079024,2014,1,3,CO,0.2
28079024,2014,1,3,NO2,1
28079024,2014,1,3,NO,14
28079024,2014,1,3,PM2.5,4
28079024,2014,1,3,PM10,6
28079024,2014,1,3,O3,46
28079024,2014,1,3,TOL,0.7
28079024,2014,1,3,BEN,0.1
28079024,2014,1,3,EBE,0.9
28079024,2014,1,3,TCH,1.3
28079024,2014,1,3,NMHC,0.23
28079024,2014,1,3,UV,5
28079024,2014,1,3,VV,3.37
28079024,2014,1,3,DV,7
28079024,2014,1,3,TMP,12.1
28079024,2014,1,3,Unknown,18
28079024,2014,1,3,HR,96
28079024,2014,1,3,PRB,937
28079024,2014,1,3,RS,32
28079024,2014,1,3,LLA,4.7
28079027,2014,1,3,NO2,7
28079027,2014,1,3,NO,30
28079027,2014,1,3,O3,39
28079027,2014,1,3,TCH,1.34
28079027,2014,1,3,NMHC,0.16
28079027,2014,1,3,Unknown,24
28079035,2014,1,3,SO2,5
28079035,2014,1,3,CO,0.3
28079035,2014,1,3,NO2,12
28079035,2014,1,3,NO,35
28079035,2014,1,3,O3,36
28079035,2014,1,3,Unknown,23
28079036,2014,1,3,SO2,1
28079036,2014,1,3,CO,0.3
28079036,2014,1,3,NO2,8
28079036,2014,1,3,NO,28
28079036,2014,1,3,PM10,9
28079036,2014,1,3,Unknown,25
28079036,2014,1,3,LLA,7
28079038,2014,1,3,SO2,3
28079038,2014,1,3,NO2,11
28079038,2014,1,3,NO,33
28079038,2014,1,3,PM2.5,6
28079038,2014,1,3,PM10,8
28079038,2014,1,3,TOL,1.5
28079038,2014,1,3,BEN,0.4
28079038,2014,1,3,EBE,0.7
28079038,2014,1,3,TMP,11.2
28079038,2014,1,3,Unknown,24
28079038,2014,1,3,LLA,6.5
28079039,2014,1,3,CO,0.3
28079039,2014,1,3,NO2,18
28079039,2014,1,3,NO,38
28079039,2014,1,3,O3,34
28079039,2014,1,3,Unknown,23
28079039,2014,1,3,LLA,6.5
28079040,2014,1,3,SO2,2
28079040,2014,1,3,NO2,8
28079040,2014,1,3,NO,29
28079040,2014,1,3,PM10,8
28079040,2014,1,3,Unknown,24
28079040,2014,1,3,LLA,7
28079047,2014,1,3,NO2,5
28079047,2014,1,3,NO,29
28079047,2014,1,3,PM2.5,6
28079047,2014,1,3,PM10,8
28079047,2014,1,3,Unknown,23
28079048,2014,1,3,NO2,16
28079048,2014,1,3,NO,43
28079048,2014,1,3,PM2.5,5
28079048,2014,1,3,PM10,9
28079048,2014,1,3,Unknown,21
28079049,2014,1,3,NO2,4
28079049,2014,1,3,NO,34
28079049,2014,1,3,O3,25
28079049,2014,1,3,Unknown,19
28079050,2014,1,3,NO2,37
28079050,2014,1,3,NO,44
28079050,2014,1,3,PM2.5,8
28079050,2014,1,3,PM10,13
28079050,2014,1,3,TMP,10.9
28079050,2014,1,3,Unknown,20
28079054,2014,1,3,NO2,5
28079054,2014,1,3,NO,16
28079054,2014,1,3,O3,49
28079054,2014,1,3,UV,3
28079054,2014,1,3,VV,2.4
28079054,2014,1,3,DV,129
28079054,2014,1,3,TMP,8.4
28079054,2014,1,3,Unknown,20
28079054,2014,1,3,LLA,8.5
28079055,2014,1,3,NO2,9
28079055,2014,1,3,NO,33
28079055,2014,1,3,PM10,7
28079055,2014,1,3,TOL,1.4
28079055,2014,1,3,BEN,0.4
28079055,2014,1,3,EBE,0.5
28079055,2014,1,3,TCH,1.45
28079055,2014,1,3,NMHC,0.13
28079055,2014,1,3,Unknown,26
28079056,2014,1,3,CO,0.4
28079056,2014,1,3,NO2,20
28079056,2014,1,3,NO,37
28079056,2014,1,3,O3,35
28079056,2014,1,3,VV,1.29
28079056,2014,1,3,DV,9
28079056,2014,1,3,TMP,13.3
28079056,2014,1,3,Unknown,17
28079056,2014,1,3,HR,95
28079056,2014,1,3,LLA,0
28079057,2014,1,3,SO2,8
28079057,2014,1,3,CO,0.3
28079057,2014,1,3,NO2,12
28079057,2014,1,3,NO,34
28079057,2014,1,3,PM10,6
28079057,2014,1,3,TMP,11.6
28079057,2014,1,3,Unknown,21
28079058,2014,1,3,NO2,1
28079058,2014,1,3,NO,10
28079058,2014,1,3,O3,45
28079058,2014,1,3,Unknown,19
28079059,2014,1,3,NO2,5
28079059,2014,1,3,NO,16
28079059,2014,1,3,O3,38
28079059,2014,1,3,UV,4
